2020-04-17 11:04:25
Running ./bin/learned_b
Run on (8 X 2500 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
Load Average: 1.54, 2.02, 2.53
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"fpr","lbf_size","num_hashes","table_size","target_fpr","tau"
"MyFixtureLearned/TestBloomFilterStringQuery/4/9",1,4.69857e+09,4.69594e+09,ns,,,,,,7.07043,88628,5,71184,0.0431172,0.475
"MyFixtureLearned/TestBloomFilterStringQuery/4/10",1,4.73555e+09,4.69643e+09,ns,,,,,,6.59108,88628,5,71184,0.0431172,0.5
"MyFixtureLearned/TestBloomFilterStringQuery/4/11",1,4.69072e+09,4.68868e+09,ns,,,,,,6.08407,88628,5,71184,0.0431172,0.525
"MyFixtureLearned/TestBloomFilterStringQuery/4/12",1,4.66515e+09,4.66261e+09,ns,,,,,,6.02876,88628,5,71184,0.0431172,0.55
"MyFixtureLearned/TestBloomFilterStringQuery/4/13",1,4.74983e+09,4.74544e+09,ns,,,,,,5.53097,88628,5,71184,0.0431172,0.575
"MyFixtureLearned/TestBloomFilterStringQuery/4/14",1,4.68533e+09,4.68291e+09,ns,,,,,,5.31895,88628,5,71184,0.0431172,0.6
"MyFixtureLearned/TestBloomFilterStringQuery/4/15",1,4.57126e+09,4.56953e+09,ns,,,,,,5.0424,88628,5,71184,0.0431172,0.625
"MyFixtureLearned/TestBloomFilterStringQuery/4/16",1,4.52974e+09,4.528e+09,ns,,,,,,4.98709,88628,5,71184,0.0431172,0.65
"MyFixtureLearned/TestBloomFilterStringQuery/4/17",1,4.52995e+09,4.52856e+09,ns,,,,,,4.48931,88628,5,71184,0.0431172,0.675
"MyFixtureLearned/TestBloomFilterStringQuery/4/18",1,4.61843e+09,4.61651e+09,ns,,,,,,4.19432,88628,5,71184,0.0431172,0.7
"MyFixtureLearned/TestBloomFilterStringQuery/4/19",1,4.52665e+09,4.5239e+09,ns,,,,,,4.23119,88628,5,71184,0.0431172,0.725
"MyFixtureLearned/TestBloomFilterStringQuery/4/20",1,4.63435e+09,4.6328e+09,ns,,,,,,3.64122,88628,5,71184,0.0431172,0.75
"MyFixtureLearned/TestBloomFilterStringQuery/4/21",1,4.58309e+09,4.58004e+09,ns,,,,,,3.5306,88628,5,71184,0.0431172,0.775
"MyFixtureLearned/TestBloomFilterStringQuery/4/22",1,4.70802e+09,4.70157e+09,ns,,,,,,3.4292,88628,5,71184,0.0431172,0.8
"MyFixtureLearned/TestBloomFilterStringQuery/4/23",1,4.49044e+09,4.48839e+09,ns,,,,,,3.17109,88628,5,71184,0.0431172,0.825
"MyFixtureLearned/TestBloomFilterStringQuery/4/24",1,4.56399e+09,4.56189e+09,ns,,,,,,3.01438,88628,5,71184,0.0431172,0.85
"MyFixtureLearned/TestBloomFilterStringQuery/4/25",1,4.56244e+09,4.56111e+09,ns,,,,,,2.53503,88628,5,71184,0.0431172,0.875
"MyFixtureLearned/TestBloomFilterStringQuery/4/26",1,4.59718e+09,4.59589e+09,ns,,,,,,2.33223,88628,5,71184,0.0431172,0.9
"MyFixtureLearned/TestBloomFilterStringQuery/4/27",1,4.68051e+09,4.64042e+09,ns,,,,,,2.18473,88628,5,71184,0.0431172,0.925
"MyFixtureLearned/TestBloomFilterStringQuery/4/28",1,4.47467e+09,4.47014e+09,ns,,,,,,1.83444,88628,5,71184,0.0431172,0.95
"MyFixtureLearned/TestBloomFilterStringQuery/4/29",3,2.01784e+08,2.01655e+08,ns,,,,,,22.0778,88628,5,71184,0.0431172,1
"MyFixtureLearned/TestBloomFilterStringQuery/5/0",1,4.33207e+09,4.33097e+09,ns,,,,,,11.0159,88628,5,72064,0.0413966,0.25
"MyFixtureLearned/TestBloomFilterStringQuery/5/1",1,4.5097e+09,4.50698e+09,ns,,,,,,10.6195,88628,5,72064,0.0413966,0.275
"MyFixtureLearned/TestBloomFilterStringQuery/5/2",1,4.53763e+09,4.53661e+09,ns,,,,,,9.95575,88628,5,72064,0.0413966,0.3
"MyFixtureLearned/TestBloomFilterStringQuery/5/3",1,4.50887e+09,4.50699e+09,ns,,,,,,9.4764,88628,5,72064,0.0413966,0.325
"MyFixtureLearned/TestBloomFilterStringQuery/5/4",1,4.50074e+09,4.49866e+09,ns,,,,,,8.96018,88628,5,72064,0.0413966,0.35
"MyFixtureLearned/TestBloomFilterStringQuery/5/5",1,4.43956e+09,4.43802e+09,ns,,,,,,8.76659,88628,5,72064,0.0413966,0.375
"MyFixtureLearned/TestBloomFilterStringQuery/5/6",1,4.54195e+09,4.53956e+09,ns,,,,,,7.73414,88628,5,72064,0.0413966,0.4
"MyFixtureLearned/TestBloomFilterStringQuery/5/7",1,4.47232e+09,4.47123e+09,ns,,,,,,7.38385,88628,5,72064,0.0413966,0.425
"MyFixtureLearned/TestBloomFilterStringQuery/5/8",1,4.56479e+09,4.56342e+09,ns,,,,,,7.07965,88628,5,72064,0.0413966,0.45
"MyFixtureLearned/TestBloomFilterStringQuery/5/9",1,4.51647e+09,4.51216e+09,ns,,,,,,5.80752,88628,5,72064,0.0413966,0.475
"MyFixtureLearned/TestBloomFilterStringQuery/5/10",1,4.55159e+09,4.54912e+09,ns,,,,,,6.60951,88628,5,72064,0.0413966,0.5
"MyFixtureLearned/TestBloomFilterStringQuery/5/11",1,4.46478e+09,4.46364e+09,ns,,,,,,6.27765,88628,5,72064,0.0413966,0.525
